category,delivered_orders,late_orders,avg_delay_days,avg_review_score,late_rate
audio,348,45,1.1206896551724137,3.8391304347826085,0.12931034482758622
fashion_underwear_beach,117,15,0.9145299145299145,4.008620689655173,0.1282051282051282
home_confort,346,38,1.4826589595375723,3.9505813953488373,0.10982658959537572
books_technical,256,28,0.64453125,4.427450980392157,0.109375
food,436,44,1.0940366972477065,4.324074074074074,0.10091743119266056
electronics,2509,247,0.8126743722598645,4.128112449799197,0.09844559585492228
christmas_supplies,125,12,1.272,4.1138211382113825,0.096
construction_tools_lights,237,22,0.4978902953586498,4.183760683760684,0.09282700421940929
office_furniture,1244,115,1.164790996784566,3.6543760129659644,0.09244372990353698
baby,2794,258,1.0189692197566214,4.1105699855699855,0.09234073013600573
construction_tools_construction,731,67,0.9753761969904241,4.1411845730027546,0.09165526675786594
health_beauty,8623,775,0.832192972283428,4.232229606311454,0.08987591325524759
unknown,1336,120,0.8562874251497006,4.050828313253012,0.08982035928143713
musical_instruments,606,54,1.0297029702970297,4.24,0.0891089108910891
bed_bath_table,9239,811,0.9044268860266262,4.003390201224847,0.08778006277735685
furniture_living_room,403,35,0.913151364764268,4.108040201005025,0.08684863523573201
auto,3803,328,0.9889560872995004,4.146895640686922,0.08624769918485406
watches_gifts,5453,468,0.8136805428204658,4.129318307777573,0.08582431688978544
furniture_decor,6208,532,0.8862757731958762,4.073109380071405,0.0856958762886598
telephony,4071,348,0.7460083517563252,4.058067704472449,0.08548268238761975
industry_commerce_and_business,228,19,0.7324561403508771,4.234513274336283,0.08333333333333333
home_construction,460,38,0.8782608695652174,4.0873362445414845,0.08260869565217391
consoles_games,1016,83,0.7706692913385826,4.182224428997021,0.08169291338582677
garden_tools,3411,274,0.7795367927294049,4.192568563845473,0.08032834945763706
stationery,2240,175,0.85,4.305568028738213,0.078125
sports_leisure,7478,582,0.7897833645359722,4.237557169760559,0.0778282963359187
art,194,15,0.27319587628865977,4.114583333333333,0.07731958762886598
computers_accessories,6519,503,0.7390704095720203,4.082768187422935,0.07715907347752723
toys,3759,284,0.7858472998137802,4.247117189595066,0.07555200851290236
perfumery,3070,228,0.8032573289902281,4.263562091503268,0.0742671009771987
home_appliances_2,226,16,1.4292035398230087,4.155555555555556,0.07079646017699115
housewares,5670,399,0.645326278659612,4.207948899929027,0.07037037037037037
costruction_tools_garden,186,13,0.23118279569892472,4.279569892473118,0.06989247311827956
cool_stuff,3516,242,0.7511376564277589,4.234375,0.06882821387940842
books_general_interest,494,34,0.5222672064777328,4.53265306122449,0.06882591093117409
computers,176,12,0.7670454545454546,4.242774566473988,0.06818181818181818
home_appliances,747,50,0.3627844712182062,4.216173835125448,0.06693440428380187
drinks,285,19,0.7192982456140351,4.245614035087719,0.06666666666666667
fashion_bags_accessories,1817,121,0.6428178315905339,4.239082365948038,0.06659328563566318
fashion_shoes,233,15,0.5665236051502146,4.286026200873362,0.06437768240343347
food_drink,220,14,0.6045454545454545,4.443181818181818,0.06363636363636363
pet_shop,1679,106,0.4699225729600953,4.283064033512867,0.0631328171530673
small_appliances,604,38,0.5033112582781457,4.270450751252087,0.06291390728476821
signaling_and_security,137,8,0.8394160583941606,4.139705882352941,0.058394160583941604
luggage_accessories,1011,55,0.42433234421364985,4.380337636544191,0.05440158259149357
fixed_telephony,212,11,0.5,3.9665071770334928,0.05188679245283019
agro_industry_and_commerce,177,9,0.4971751412429379,4.107344632768362,0.05084745762711865
market_place,264,13,0.5303030303030303,4.133587786259542,0.04924242424242424
fashion_male_clothing,106,5,0.5283018867924528,3.8190476190476192,0.04716981132075472
kitchen_dining_laundry_garden_furniture,236,11,0.461864406779661,4.128205128205129,0.046610169491525424
construction_tools_safety,155,7,0.4129032258064516,4.0,0.04516129032258064
air_conditioning,246,10,0.5487804878048781,4.115702479338843,0.04065040650406504
