customer_state,delivered_orders,late_orders,super_late_orders,avg_delay_days,avg_review_score,late_rate,super_late_rate
AL,397,95,57,2.282115869017632,3.8527918781725887,0.23929471032745592,0.14357682619647355
MA,717,141,81,2.0278940027894,3.833567415730337,0.19665271966527198,0.11297071129707113
PI,476,76,42,2.0105042016806722,3.9936305732484074,0.15966386554621848,0.08823529411764706
CE,1279,196,142,2.2423768569194684,3.941869599371563,0.1532447224394058,0.11102423768569195
SE,335,51,41,2.617910447761194,3.907185628742515,0.15223880597014924,0.12238805970149254
BA,3256,457,278,1.6025798525798525,3.930009290802106,0.14035626535626536,0.08538083538083538
RJ,12353,1664,1122,1.771229660811139,3.9644124229026803,0.13470412045656927,0.09082813891362422
TO,274,35,19,0.7700729927007299,4.153846153846154,0.12773722627737227,0.06934306569343066
PA,946,117,85,1.5602536997885834,3.909967845659164,0.12367864693446089,0.08985200845665962
ES,1995,244,142,1.3343358395989975,4.079735906551549,0.12230576441102757,0.07117794486215538
RR,41,5,5,4.560975609756097,3.902439024390244,0.12195121951219512,0.12195121951219512
MS,701,81,45,0.9243937232524965,4.160228898426324,0.11554921540656206,0.06419400855920114
PB,517,57,37,1.1895551257253385,4.076171875,0.1102514506769826,0.07156673114119923
PE,1593,172,114,1.2573760200878845,4.082963901203294,0.10797237915881984,0.07156308851224105
RN,474,51,32,1.4514767932489452,4.149681528662421,0.10759493670886076,0.06751054852320675
SC,3547,346,180,0.7795319988722864,4.132386363636364,0.09754722300535663,0.05074711023400057
GO,1957,160,81,0.8252427184466019,4.10431654676259,0.08175779253960143,0.041389882473173226
RS,5344,382,231,0.6942365269461078,4.185598948554262,0.07148203592814371,0.043226047904191614
DF,2080,147,63,0.4913461538461538,4.133816425120773,0.07067307692307692,0.03028846153846154
MT,886,60,37,0.7042889390519187,4.146188850967008,0.06772009029345373,0.0417607223476298
SP,40495,2387,962,0.4334609211013705,4.2465376942243855,0.05894554883318928,0.02375601926163724
MG,11355,638,300,0.44121532364597094,4.192362218678008,0.056186701893439016,0.026420079260237782
PR,4923,246,107,0.3863497867154174,4.239591836734694,0.049969530773918344,0.021734714604915703
AP,67,3,1,2.208955223880597,4.242424242424242,0.04477611940298507,0.014925373134328358
AM,145,6,2,0.8758620689655172,4.243055555555555,0.041379310344827586,0.013793103448275862
AC,80,3,2,0.7375,4.0875,0.0375,0.025
RO,243,7,4,0.18930041152263374,4.1652892561983474,0.02880658436213992,0.01646090534979424
